0	2	0	0
1	4	0	0
2	8	0	0
3	16	0	0
4	32	0	0
5	64	0	0
6	128	0	0
7	256	0	0
0	2	0	0
1	4	0	0
2	8	0	0
3	16	0	0
4	32	0	0
5	64	0	0
6	128	0	0
7	256	0	0
0	2	0	0
1	4	0	0
2	8	0	0
3	16	0	0
4	32	0	0
5	64	0	0
6	128	0	0
7	256	0	0
0	2	0	1460
1	4	0	43711
2	8	0	7837
3	16	0	2879
4	32	0	1182
5	64	0	676
6	128	0	345
7	256	0	115
0	2	0	315
1	4	0	10908
2	8	0	304
3	16	0	313
4	32	0	50
5	64	0	25
6	128	0	16
7	256	0	7
0	2	0	10
1	4	0	4292
2	8	0	427
3	16	0	210
4	32	0	112
5	64	0	55
6	128	0	28
7	256	0	14
0	2	0	88
1	4	0	1906
2	8	0	38
3	16	0	21
4	32	0	10
5	64	0	5
6	128	0	4
7	256	0	1
0	2	0	81
1	4	0	1680
2	8	0	102
3	16	0	41
4	32	0	19
5	64	0	9
6	128	0	4
7	256	0	2
0	2	0	21
1	4	0	1307
2	8	0	97
3	16	0	49
4	32	0	22
5	64	0	12
6	128	0	6
7	256	0	2
0	2	0	20
1	4	0	993
2	8	0	111
3	16	0	55
4	32	0	25
5	64	0	14
6	128	0	7
7	256	0	3
0	2	0	39
1	4	0	917
2	8	0	24
3	16	0	10
4	32	0	3
5	64	0	4
6	128	0	3
7	256	0	1
0	2	0	37
1	4	0	622
2	8	0	18
3	16	0	7
4	32	0	2
5	64	0	1
6	128	0	1
7	256	0	0
0	2	0	7
1	4	0	805
2	8	0	221
3	16	0	127
4	32	0	63
5	64	0	86
6	128	0	77
7	256	0	21
0	2	0	18
1	4	0	471
2	8	0	30
3	16	0	26
4	32	0	12
5	64	0	13
6	128	0	14
7	256	0	4
0	2	0	12
1	4	0	436
2	8	0	60
3	16	0	44
4	32	0	13
5	64	0	17
6	128	0	13
7	256	0	3
0	2	0	7
1	4	0	314
2	8	0	26
3	16	0	14
4	32	0	6
5	64	0	8
6	128	0	5
7	256	0	2
0	2	0	8
1	4	0	231
2	8	0	10
3	16	0	6
4	32	0	1
5	64	0	1
6	128	0	0
7	256	0	0
0	2	0	1
1	4	0	167
2	8	0	7
3	16	0	6
4	32	0	2
5	64	0	2
6	128	0	2
7	256	0	0
0	2	0	0
1	4	0	148
2	8	0	8
3	16	0	9
4	32	0	4
5	64	0	3
6	128	0	3
7	256	0	1
0	2	0	4
1	4	0	101
2	8	0	4
3	16	0	8
4	32	0	2
5	64	0	3
6	128	0	2
7	256	0	0
0	2	0	4
1	4	0	91
2	8	0	12
3	16	0	5
4	32	0	1
5	64	0	2
6	128	0	2
7	256	0	1
0	2	0	2
1	4	0	50
2	8	0	3
3	16	0	1
4	32	0	0
5	64	0	0
6	128	0	0
7	256	0	0
0	2	0	19
1	4	0	796
2	8	0	283
3	16	0	271
4	32	0	49
5	64	0	21
6	128	0	16
7	256	0	7
0	2	0	2
1	4	0	89
2	8	0	23
3	16	0	41
4	32	0	13
5	64	0	12
6	128	0	11
7	256	0	4
0	2	0	10
1	4	0	423
2	8	0	178
3	16	0	90
4	32	0	24
5	64	0	13
6	128	0	10
7	256	0	3
0	2	0	0
1	4	0	88
2	8	0	24
3	16	0	27
4	32	0	6
5	64	0	8
6	128	0	9
7	256	0	2
0	2	0	0
1	4	0	43
2	8	0	11
3	16	0	9
4	32	0	2
5	64	0	2
6	128	0	2
7	256	0	0
0	2	0	13
1	4	0	442
2	8	0	129
3	16	0	142
4	32	0	36
5	64	0	53
6	128	0	51
7	256	0	11
0	2	0	5
1	4	0	354
2	8	0	333
3	16	0	198
4	32	0	43
5	64	0	31
6	128	0	28
7	256	0	8
0	2	0	0
1	4	0	59
2	8	0	46
3	16	0	57
4	32	0	15
5	64	0	24
6	128	0	18
7	256	0	6
0	2	0	47
1	4	0	410
2	8	0	18
3	16	0	14
4	32	0	3
5	64	0	4
6	128	0	5
7	256	0	1
0	2	0	27
1	4	0	612
2	8	0	86
3	16	0	96
4	32	0	43
5	64	0	59
6	128	0	56
7	256	0	12
0	2	0	21
1	4	0	474
2	8	0	95
3	16	0	67
4	32	0	18
5	64	0	21
6	128	0	22
7	256	0	6
0	2	0	21
1	4	0	474
2	8	0	95
3	16	0	67
4	32	0	18
5	64	0	21
6	128	0	22
7	256	0	6
0	2	0	7
1	4	0	336
2	8	0	29
3	16	0	27
4	32	0	9
5	64	0	9
6	128	0	7
7	256	0	2
0	2	0	3
1	4	0	266
2	8	0	19
3	16	0	31
4	32	0	8
5	64	0	9
6	128	0	8
7	256	0	2
0	2	0	12
1	4	0	169
2	8	0	8
3	16	0	8
4	32	0	2
5	64	0	1
6	128	0	1
7	256	0	0
0	2	0	5
1	4	0	168
2	8	0	22
3	16	0	11
4	32	0	4
5	64	0	3
6	128	0	2
7	256	0	1
0	2	0	9
1	4	0	414
2	8	0	171
3	16	0	173
4	32	0	36
5	64	0	33
6	128	0	37
7	256	0	10
0	2	0	0
1	4	0	107
2	8	0	113
3	16	0	101
4	32	0	28
5	64	0	24
6	128	0	31
7	256	0	7
0	2	0	28
1	4	0	1529
2	8	0	48
3	16	0	76
4	32	0	20
5	64	0	28
6	128	0	31
7	256	0	8
0	2	0	21
1	4	0	885
2	8	0	104
3	16	0	85
4	32	0	31
5	64	0	32
6	128	0	23
7	256	0	6
0	2	0	529
1	4	0	56002
2	8	0	8822
3	16	0	2888
4	32	0	1514
5	64	0	1036
6	128	0	669
7	256	0	164
0	2	0	1028
1	4	0	14199
2	8	0	1270
3	16	0	443
4	32	0	167
5	64	0	90
6	128	0	47
7	256	0	20
0	2	0	220
1	4	0	6957
2	8	0	135
3	16	0	80
4	32	0	31
5	64	0	17
6	128	0	10
7	256	0	4
0	2	0	135
1	4	0	4940
2	8	0	510
3	16	0	250
4	32	0	125
5	64	0	63
6	128	0	32
7	256	0	16
0	2	0	135
1	4	0	3390
2	8	0	246
3	16	0	122
4	32	0	60
5	64	0	30
6	128	0	15
7	256	0	7
0	2	0	49
1	4	0	2886
2	8	0	217
3	16	0	257
4	32	0	50
5	64	0	30
6	128	0	26
7	256	0	7
0	2	0	102
1	4	0	1798
2	8	0	29
3	16	0	63
4	32	0	9
5	64	0	15
6	128	0	13
7	256	0	4
0	2	0	86
1	4	0	1413
2	8	0	45
3	16	0	18
4	32	0	7
5	64	0	7
6	128	0	3
7	256	0	1
0	2	0	12
1	4	0	1216
2	8	0	98
3	16	0	55
4	32	0	26
5	64	0	13
6	128	0	7
7	256	0	3
0	2	0	22
1	4	0	1143
2	8	0	142
3	16	0	134
4	32	0	53
5	64	0	71
6	128	0	64
7	256	0	18
0	2	0	31
1	4	0	746
2	8	0	24
3	16	0	37
4	32	0	13
5	64	0	14
6	128	0	13
7	256	0	4
0	2	0	30
1	4	0	559
2	8	0	66
3	16	0	88
4	32	0	16
5	64	0	23
6	128	0	23
7	256	0	6
0	2	0	19
1	4	0	453
2	8	0	48
3	16	0	19
4	32	0	8
5	64	0	8
6	128	0	7
7	256	0	2
0	2	0	8
1	4	0	436
2	8	0	29
3	16	0	18
4	32	0	7
5	64	0	4
6	128	0	2
7	256	0	0
0	2	0	5
1	4	0	301
2	8	0	23
3	16	0	9
4	32	0	6
5	64	0	2
6	128	0	1
7	256	0	0
0	2	0	18
1	4	0	319
2	8	0	71
3	16	0	62
